,SNo,date,dayResult,dayConfidence,latitude,longitude,dateUnixTimestamp
98739,218,2022-07-20,1,0.7359351,46.59569929326315,-122.1942561334376,1658275200000
98740,219,2022-07-20,1,0.7359351,46.59569929326315,-122.18156663549377,1658275200000
98741,220,2022-07-20,1,0.7359351,46.59569929326315,-122.16887713754996,1658275200000
98742,221,2022-07-20,1,0.7359351,46.59569929326315,-122.15618763960612,1658275200000
98743,222,2022-07-20,1,0.7359351,46.59569929326315,-122.14349814166232,1658275200000
98744,223,2022-07-20,1,0.7359351,46.59569929326315,-122.1308086437185,1658275200000
98745,224,2022-07-20,1,0.7359351,46.59569929326315,-122.11811914577468,1658275200000
98746,225,2022-07-20,1,0.7359351,46.59569929326315,-122.10542964783086,1658275200000
98747,226,2022-07-20,1,0.7359351,46.59569929326315,-122.09274014988704,1658275200000
99281,227,2022-07-20,1,0.7359351,46.583009795319335,-122.3592196067072,1658275200000
99282,228,2022-07-20,1,0.7359351,46.583009795319335,-122.3465301087634,1658275200000
99283,229,2022-07-20,1,0.7359351,46.583009795319335,-122.33384061081958,1658275200000
99284,230,2022-07-20,1,0.7359351,46.583009795319335,-122.32115111287575,1658275200000
99285,231,2022-07-20,1,0.7359351,46.583009795319335,-122.30846161493194,1658275200000
99286,232,2022-07-20,1,0.7359351,46.583009795319335,-122.29577211698812,1658275200000
99287,233,2022-07-20,1,0.7359351,46.583009795319335,-122.28308261904432,1658275200000
99288,234,2022-07-20,1,0.7359351,46.583009795319335,-122.2703931211005,1658275200000
99289,235,2022-07-20,1,0.7359351,46.583009795319335,-122.25770362315669,1658275200000
99290,236,2022-07-20,1,0.7359351,46.583009795319335,-122.24501412521286,1658275200000
99291,237,2022-07-20,1,0.7359351,46.583009795319335,-122.23232462726904,1658275200000
99292,238,2022-07-20,1,0.7359351,46.583009795319335,-122.21963512932524,1658275200000
99293,239,2022-07-20,1,0.7359351,46.583009795319335,-122.2069456313814,1658275200000
99294,240,2022-07-20,1,0.7359351,46.583009795319335,-122.1942561334376,1658275200000
99295,241,2022-07-20,1,0.7359351,46.583009795319335,-122.18156663549377,1658275200000
99296,242,2022-07-20,1,0.7359351,46.583009795319335,-122.16887713754996,1658275200000
99297,243,2022-07-20,1,0.7359351,46.583009795319335,-122.15618763960612,1658275200000
99298,244,2022-07-20,1,0.7359351,46.583009795319335,-122.14349814166232,1658275200000
99299,245,2022-07-20,1,0.7359351,46.583009795319335,-122.1308086437185,1658275200000
99300,246,2022-07-20,1,0.7359351,46.583009795319335,-122.11811914577468,1658275200000
99301,247,2022-07-20,1,0.7359351,46.583009795319335,-122.10542964783086,1658275200000
99302,248,2022-07-20,1,0.7359351,46.583009795319335,-122.09274014988704,1658275200000
99838,249,2022-07-20,1,0.7359351,46.57032029737552,-122.3465301087634,1658275200000
99839,250,2022-07-20,1,0.7359351,46.57032029737552,-122.33384061081958,1658275200000
99840,251,2022-07-20,1,0.7359351,46.57032029737552,-122.32115111287575,1658275200000
99841,252,2022-07-20,1,0.7359351,46.57032029737552,-122.30846161493194,1658275200000
99842,253,2022-07-20,1,0.7359351,46.57032029737552,-122.29577211698812,1658275200000
99843,254,2022-07-20,1,0.7359351,46.57032029737552,-122.28308261904432,1658275200000
99844,255,2022-07-20,1,0.7359351,46.57032029737552,-122.2703931211005,1658275200000
99845,256,2022-07-20,1,0.7359351,46.57032029737552,-122.25770362315669,1658275200000
99846,257,2022-07-20,1,0.7359351,46.57032029737552,-122.24501412521286,1658275200000
99847,258,2022-07-20,1,0.7359351,46.57032029737552,-122.23232462726904,1658275200000
99848,259,2022-07-20,1,0.7359351,46.57032029737552,-122.21963512932524,1658275200000
99849,260,2022-07-20,1,0.7359351,46.57032029737552,-122.2069456313814,1658275200000
99850,261,2022-07-20,1,0.7359351,46.57032029737552,-122.1942561334376,1658275200000
99851,262,2022-07-20,1,0.7359351,46.57032029737552,-122.18156663549377,1658275200000
99852,263,2022-07-20,1,0.7359351,46.57032029737552,-122.16887713754996,1658275200000
99853,264,2022-07-20,1,0.7359351,46.57032029737552,-122.15618763960612,1658275200000
99854,265,2022-07-20,1,0.7359351,46.57032029737552,-122.14349814166232,1658275200000
99855,266,2022-07-20,1,0.7359351,46.57032029737552,-122.1308086437185,1658275200000
99856,267,2022-07-20,1,0.7359351,46.57032029737552,-122.11811914577468,1658275200000
99857,268,2022-07-20,1,0.7359351,46.57032029737552,-122.10542964783086,1658275200000
99858,269,2022-07-20,1,0.7359351,46.57032029737552,-122.09274014988704,1658275200000
100394,270,2022-07-20,1,0.7359351,46.5576307994317,-122.3465301087634,1658275200000
100395,271,2022-07-20,1,0.7359351,46.5576307994317,-122.33384061081958,1658275200000
100396,272,2022-07-20,1,0.7359351,46.5576307994317,-122.32115111287575,1658275200000
